2023-03-28 09:12:41.807 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8007"]
2023-03-28 09:12:41.809 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8007"]
2023-03-28 09:12:41.816 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2023-03-28 09:13:27.642 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-03-28 09:13:27.648 [main] INFO  com.atcwl.gulicollege.ServiceOrderMain - Starting ServiceOrderMain using Java 15 on LAPTOP-N3UOGK91 with PID 21296 (F:\studying\another\IdeaProjects\JavaEngineering\gulicollege\service\service-order\target\classes started by 陈伟龙 in F:\studying\another\IdeaProjects\JavaEngineering\gulicollege)
2023-03-28 09:13:27.649 [main] INFO  com.atcwl.gulicollege.ServiceOrderMain - The following 1 profile is active: "dev"
2023-03-28 09:13:28.327 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-03-28 09:13:28.329 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-03-28 09:13:28.345 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
2023-03-28 09:13:28.502 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=2f9408bc-99c2-3304-9cee-41d6eb2427bc
2023-03-28 09:13:28.813 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8007 (http)
2023-03-28 09:13:28.820 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8007"]
2023-03-28 09:13:28.820 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-03-28 09:13:28.820 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-03-28 09:13:28.933 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-03-28 09:13:28.934 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1257 ms
2023-03-28 09:13:29.532 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'service-edu' URL not provided. Will try picking an instance via load-balancing.
2023-03-28 09:13:29.574 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'service-ucenter' URL not provided. Will try picking an instance via load-balancing.
2023-03-28 09:13:30.079 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
